"","ID","Magnitude","Magnitude Type"
"376","ISCGEMSUP855168","5.8","MW"
"377","ISCGEM855169","6.3","MW"
"378","ISCGEM855170","5.6","MW"
"379","ISCGEM855189","6.3","MW"
"380","ISCGEM855208","5.7","MW"
"381","ISCGEM855319","5.7","MW"
"382","ISCGEM855394","6","MW"
"383","ISCGEM855425","5.9","MW"
"384","ISCGEM855504","5.7","MW"
"385","ISCGEM855526","5.5","MW"
"386","ISCGEM855580","5.5","MW"
"387","ISCGEM855589","5.6","MW"
"388","ISCGEM855597","5.7","MW"
"389","ISCGEM855664","5.6","MW"
"390","ISCGEM855674","6.8","MW"
"391","ISCGEM855684","5.7","MW"
"392","ISCGEM855692","5.6","MW"
"393","ISCGEM855709","5.6","MW"
"394","ISCGEM854282","5.9","MW"
"395","ISCGEM854292","7.3","MW"
"396","ISCGEM854310","5.7","MW"
"397","ISCGEM854347","6.5","MW"
"398","ISCGEM854451","7.2","MW"
"399","ISCGEM854453","5.8","MW"
"400","ISCGEM854468","6.9","MW"
"401","ISCGEM854470","6","MW"
"402","ISCGEM854473","7.6","MW"
"403","ISCGEM854500","6.9","MW"
"404","ISCGEM854507","6.8","MW"
"405","ISCGEM854519","5.9","MW"
"406","ISCGEM854538","5.8","MW"
"407","ISCGEM854550","6.1","MW"
"408","ISCGEM854555","7.4","MW"
"409","ISCGEM854556","7.2","MW"
"410","ISCGEM854573","6.2","MW"
"411","ISCGEM854586","6","MW"
"412","ISCGEM854614","6","MW"
"413","ISCGEM854617","5.7","MW"
"414","ISCGEM854661","6.2","MW"
"415","ISCGEM854696","6.1","MW"
"416","ISCGEM854706","5.8","MW"
"417","ISCGEM854753","6.2","MW"
"418","ISCGEM854799","6.7","MW"
"419","ISCGEM854803","6.7","MW"
"420","ISCGEMSUP854809","6.1","MW"
"421","ISCGEM854827","5.6","MW"
"422","ISCGEM854868","6","MW"
"423","ISCGEM854871","7.4","MW"
"424","ISCGEM854885","5.8","MW"
"425","ISCGEM854972","5.7","MW"
"426","ISCGEM855027","5.8","MW"
"427","ISCGEMSUP855043","5.7","MW"
"428","ISCGEMSUP853515","5.8","MW"
"429","ISCGEM853538","5.5","MW"
"430","ISCGEM853601","5.9","MW"
"431","ISCGEM853605","7","MW"
"432","ISCGEM853683","5.7","MW"
"433","ISCGEM853712","6.2","MW"
"434","ISCGEM853760","6.2","MW"
"435","ISCGEM853784","6.1","MW"
"436","ISCGEM853797","6.3","MW"
"437","ISCGEM853808","5.9","MW"
"438","ISCGEM853817","6.1","MW"
"439","ISCGEM853835","5.8","MW"
"440","ISCGEM853881","6","MW"
"441","ISCGEM853904","6.5","MW"
"442","ISCGEM853914","5.8","MW"
"443","ISCGEM853917","5.9","MW"
"444","ISCGEM853920","6.8","MW"
"445","ISCGEM853952","6","MW"
"446","ISCGEM854009","6.7","MW"
"447","ISCGEM854025","5.9","MW"
"448","ISCGEM854040","5.9","MW"
"449","ISCGEM854045","6.3","MW"
"450","ISCGEM854087","5.6","MW"
"451","ISCGEM854110","5.7","MW"
"452","ISCGEM854160","5.8","MW"
"453","ISCGEM854167","5.6","MW"
"454","ISCGEM854190","6.5","MW"
"455","ISCGEM854249","6.1","MW"
"456","ISCGEM852802","6.8","MW"
"457","ISCGEM852814","6.2","MW"
"458","ISCGEM852823","6","MW"
"459","ISCGEM852862","5.9","MW"
"460","ISCGEM852863","5.9","MW"
"461","ISCGEM852946","5.9","MW"
"462","ISCGEM853033","5.8","MW"
"463","ISCGEM853083","5.6","MW"
"464","ISCGEM853158","5.7","MW"
"465","ISCGEM853181","5.7","MW"
"466","ISCGEM853224","6.3","MW"
"467","ISCGEM853243","6.1","MW"
"468","ISCGEM853331","5.6","MW"
"469","ISCGEM853357","5.9","MW"
"470","ISCGEM853361","5.6","MW"
"471","ISCGEM853391","6.7","MW"
"472","ISCGEMSUP853445","5.6","MW"
"473","ISCGEM852129","6.7","MW"
"474","ISCGEM852145","6.1","MW"
"475","ISCGEM852189","5.9","MW"
"476","ISCGEM852214","6.2","MW"
"477","ISCGEM852381","6.4","MW"
"478","ISCGEM852398","6.5","MW"
"479","ISCGEM852416","5.7","MW"
"480","ISCGEM852431","5.7","MW"
"481","ISCGEM852463","6.1","MW"
"482","ISCGEM852478","5.9","MW"
"483","ISCGEM852482","6","MW"
"484","ISCGEM852485","5.7","MW"
"485","ISCGEM852520","5.6","MW"
"486","ISCGEM852521","6.5","MW"
"487","ISCGEM852523","6","MW"
"488","ISCGEM852557","5.8","MW"
"489","ISCGEM852583","6.5","MW"
"490","ISCGEM852609","5.7","MW"
"491","ISCGEM852616","5.9","MW"
"492","ISCGEM852620","6.2","MW"
"493","ISCGEM852621","5.6","MW"
"494","ISCGEM852636","5.8","MW"
"495","ISCGEM852723","5.6","MW"
"496","ISCGEM852726","5.8","MW"
"497","ISCGEM852739","6.2","MW"
"498","ISCGEM852740","5.9","MW"
"499","ISCGEMSUP852752","5.8","MW"
"500","ISCGEM851508","5.8","MW"
"501","ISCGEM851530","5.6","MW"
"502","ISCGEM851547","6.7","MW"
"503","ISCGEMSUP851584","6.3","MW"
"504","ISCGEM851601","6","MW"
"505","ISCGEM851606","6.4","MW"
"506","ISCGEM851614","6.2","MW"
"507","ISCGEM851639","5.9","MW"
"508","ISCGEM851705","6","MW"
"509","ISCGEM851711","5.6","MW"
"510","ISCGEM851771","5.8","MW"
"511","ISCGEM851774","6.3","MW"
"512","ISCGEM851890","5.8","MW"
"513","ISCGEM851909","6.1","MW"
"514","ISCGEM851933","5.6","MW"
"515","ISCGEM851951","6.2","MW"
"516","ISCGEM851979","5.9","MW"
"517","ISCGEM852030","5.8","MW"
"518","ISCGEM852053","5.6","MW"
"519","ISCGEM852060","5.8","MW"
"520","ISCGEM850665","5.8","MW"
"521","ISCGEM850772","5.9","MW"
"522","ISCGEM850781","6","MW"
"523","ISCGEM850836","5.7","MW"
